State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andhra Pradesh,Andhra Pradesh_District,2015,Whole Year,rice,35676.47,127165.1
Andhra Pradesh,Andhra Pradesh_District,2015,Rabi,maize,36001.5,88838.06
Andhra Pradesh,Andhra Pradesh_District,2015,Rabi,chickpea,49040.13,46035.92
Andhra Pradesh,Andhra Pradesh_District,2015,Rabi,cotton,20110.78,16026.32
Andhra Pradesh,Andhra Pradesh_District,2015,Kharif,jute,36479.58,70348.88
Andhra Pradesh,Andhra Pradesh_District,2015,Kharif,banana,29735.73,877990.69
Andhra Pradesh,Andhra Pradesh_District,2015,Rabi,mango,9206.34,66774.04
Andhra Pradesh,Andhra Pradesh_District,2015,Kharif,coconut,21450.39,115768.22
Andhra Pradesh,Andhra Pradesh_District,2015,Rabi,coffee,42486.65,40254.98
Andhra Pradesh,Andhra Pradesh_District,2015,Kharif,papaya,20918.78,1086225.38
Andhra Pradesh,Andhra Pradesh_District,2015,Rabi,grapes,18153.25,308775.86
Andhra Pradesh,Andhra Pradesh_District,2015,Kharif,orange,38323.2,288873.79
Andhra Pradesh,Andhra Pradesh_District,2015,Rabi,watermelon,21741.69,515754.23
Andhra Pradesh,Andhra Pradesh_District,2015,Rabi,lentil,3946.62,948.3
Andhra Pradesh,Andhra Pradesh_District,2015,Rabi,pigeonpeas,34700.82,6554.45
Andhra Pradesh,Andhra Pradesh_District,2015,Whole Year,mungbean,5869.36,4407.24
Andhra Pradesh,Andhra Pradesh_District,2015,Whole Year,blackgram,24915.71,17045.34
Andhra Pradesh,Andhra Pradesh_District,2015,Rabi,mothbeans,24203.41,10278.31
Andhra Pradesh,Andhra Pradesh_District,2015,Rabi,kidneybeans,11718.51,19587.5
Andhra Pradesh,Andhra Pradesh_District,2015,Kharif,pomegranate,41334.41,298062.25
Andhra Pradesh,Andhra Pradesh_District,2015,Rabi,muskmelon,14206.88,204419.61
Andhra Pradesh,Andhra Pradesh_District,2015,Rabi,apple,34494.67,411072.6
Bihar,Bihar_District,2015,Rabi,rice,25570.07,77590.44
Bihar,Bihar_District,2015,Kharif,maize,26550.09,97636.46
Bihar,Bihar_District,2015,Rabi,chickpea,4251.43,3265.89
Bihar,Bihar_District,2015,Kharif,cotton,24766.38,15336.07
Bihar,Bihar_District,2015,Whole Year,jute,4876.05,11286.22
Bihar,Bihar_District,2015,Rabi,banana,904.85,31071.18
Bihar,Bihar_District,2015,Kharif,mango,15563.19,52461.41
Bihar,Bihar_District,2015,Kharif,coconut,5516.26,44788.03
Bihar,Bihar_District,2015,Rabi,coffee,34629.32,12999.15
Bihar,Bihar_District,2015,Whole Year,papaya,42763.14,2066221.73
Bihar,Bihar_District,2015,Whole Year,grapes,17934.14,353893.82
Bihar,Bihar_District,2015,Kharif,orange,27503.19,264301.25
Bihar,Bihar_District,2015,Whole Year,watermelon,49768.39,1556565.41
Bihar,Bihar_District,2015,Kharif,lentil,2247.04,1488.05
Bihar,Bihar_District,2015,Kharif,pigeonpeas,7641.26,3932.65
Bihar,Bihar_District,2015,Whole Year,mungbean,25705.09,13276.44
Bihar,Bihar_District,2015,Kharif,blackgram,27646.98,18460.05
Bihar,Bihar_District,2015,Whole Year,mothbeans,9739.2,3598.94
Bihar,Bihar_District,2015,Rabi,kidneybeans,27707.54,30464.35
Bihar,Bihar_District,2015,Rabi,pomegranate,17777.81,178884.37
Bihar,Bihar_District,2015,Whole Year,muskmelon,20957.82,312205.32
Bihar,Bihar_District,2015,Kharif,apple,28969.72,286444.63
Gujarat,Gujarat_District,2015,Rabi,rice,15529.03,40971.89
Gujarat,Gujarat_District,2015,Rabi,maize,10461.03,32552.05
Gujarat,Gujarat_District,2015,Whole Year,chickpea,22507.76,15871.3
Gujarat,Gujarat_District,2015,Whole Year,cotton,12951.35,4439.51
Gujarat,Gujarat_District,2015,Whole Year,jute,25929.17,70349.52
Gujarat,Gujarat_District,2015,Whole Year,banana,8137.34,185958.23
Gujarat,Gujarat_District,2015,Rabi,mango,43306.64,184404.12
Gujarat,Gujarat_District,2015,Kharif,coconut,45574.77,334293.23
Gujarat,Gujarat_District,2015,Kharif,coffee,1474.81,1013.08
Gujarat,Gujarat_District,2015,Whole Year,papaya,22924.86,1044453.47
Gujarat,Gujarat_District,2015,Rabi,grapes,23746.21,222595.8
Gujarat,Gujarat_District,2015,Whole Year,orange,41978.24,451376.46
Gujarat,Gujarat_District,2015,Kharif,watermelon,40388.48,1127344.21
Gujarat,Gujarat_District,2015,Rabi,lentil,33296.55,33117.51
Gujarat,Gujarat_District,2015,Rabi,pigeonpeas,9589.67,9126.26
Gujarat,Gujarat_District,2015,Rabi,mungbean,22072.36,2207.24
Gujarat,Gujarat_District,2015,Rabi,blackgram,28325.54,17672.9
Gujarat,Gujarat_District,2015,Kharif,mothbeans,23925.28,7654.35
Gujarat,Gujarat_District,2015,Rabi,kidneybeans,46386.07,62012.67
Gujarat,Gujarat_District,2015,Rabi,pomegranate,22088.08,244936.73
Gujarat,Gujarat_District,2015,Kharif,muskmelon,42983.51,607723.81
Gujarat,Gujarat_District,2015,Whole Year,apple,43468.21,387053.97
Haryana,Haryana_District,2015,Kharif,rice,6199.95,17560.21
Haryana,Haryana_District,2015,Rabi,maize,40416.12,102441.22
Haryana,Haryana_District,2015,Whole Year,chickpea,32810.74,56330.96
Haryana,Haryana_District,2015,Kharif,cotton,10384.18,3055.79
